date_key,full_date,day,month,year,week_of_year,quarter,year_month
20171025,2017-10-25,25,10,2017,43,4,2017-10
20171026,2017-10-26,26,10,2017,43,4,2017-10
20171027,2017-10-27,27,10,2017,43,4,2017-10
20171028,2017-10-28,28,10,2017,43,4,2017-10
20171029,2017-10-29,29,10,2017,43,4,2017-10
20171030,2017-10-30,30,10,2017,44,4,2017-10
20171031,2017-10-31,31,10,2017,44,4,2017-10
20171101,2017-11-01,1,11,2017,44,4,2017-11
20171102,2017-11-02,2,11,2017,44,4,2017-11
20171103,2017-11-03,3,11,2017,44,4,2017-11
20171104,2017-11-04,4,11,2017,44,4,2017-11
20171105,2017-11-05,5,11,2017,44,4,2017-11
20171106,2017-11-06,6,11,2017,45,4,2017-11
20171107,2017-11-07,7,11,2017,45,4,2017-11
20171108,2017-11-08,8,11,2017,45,4,2017-11
20171109,2017-11-09,9,11,2017,45,4,2017-11
20171110,2017-11-10,10,11,2017,45,4,2017-11
20171111,2017-11-11,11,11,2017,45,4,2017-11
20171112,2017-11-12,12,11,2017,45,4,2017-11
20171113,2017-11-13,13,11,2017,46,4,2017-11
20171114,2017-11-14,14,11,2017,46,4,2017-11
20171115,2017-11-15,15,11,2017,46,4,2017-11
20171116,2017-11-16,16,11,2017,46,4,2017-11
20171117,2017-11-17,17,11,2017,46,4,2017-11
20171118,2017-11-18,18,11,2017,46,4,2017-11
20171119,2017-11-19,19,11,2017,46,4,2017-11
20171120,2017-11-20,20,11,2017,47,4,2017-11
20171121,2017-11-21,21,11,2017,47,4,2017-11
20171122,2017-11-22,22,11,2017,47,4,2017-11
20171123,2017-11-23,23,11,2017,47,4,2017-11
20171124,2017-11-24,24,11,2017,47,4,2017-11
20171125,2017-11-25,25,11,2017,47,4,2017-11
20171126,2017-11-26,26,11,2017,47,4,2017-11
20171127,2017-11-27,27,11,2017,48,4,2017-11
20171128,2017-11-28,28,11,2017,48,4,2017-11
20171129,2017-11-29,29,11,2017,48,4,2017-11
20171130,2017-11-30,30,11,2017,48,4,2017-11
20171201,2017-12-01,1,12,2017,48,4,2017-12
20171202,2017-12-02,2,12,2017,48,4,2017-12
20171203,2017-12-03,3,12,2017,48,4,2017-12
20171204,2017-12-04,4,12,2017,49,4,2017-12
20171205,2017-12-05,5,12,2017,49,4,2017-12
20171206,2017-12-06,6,12,2017,49,4,2017-12
20171207,2017-12-07,7,12,2017,49,4,2017-12
20171208,2017-12-08,8,12,2017,49,4,2017-12
20171209,2017-12-09,9,12,2017,49,4,2017-12
20171210,2017-12-10,10,12,2017,49,4,2017-12
20171211,2017-12-11,11,12,2017,50,4,2017-12
20171212,2017-12-12,12,12,2017,50,4,2017-12
20171213,2017-12-13,13,12,2017,50,4,2017-12
20171214,2017-12-14,14,12,2017,50,4,2017-12
20171215,2017-12-15,15,12,2017,50,4,2017-12
20171216,2017-12-16,16,12,2017,50,4,2017-12
20171217,2017-12-17,17,12,2017,50,4,2017-12
20171218,2017-12-18,18,12,2017,51,4,2017-12
20171219,2017-12-19,19,12,2017,51,4,2017-12
20171220,2017-12-20,20,12,2017,51,4,2017-12
20171221,2017-12-21,21,12,2017,51,4,2017-12
20171222,2017-12-22,22,12,2017,51,4,2017-12
20171223,2017-12-23,23,12,2017,51,4,2017-12
20171224,2017-12-24,24,12,2017,51,4,2017-12
20171225,2017-12-25,25,12,2017,52,4,2017-12
20171226,2017-12-26,26,12,2017,52,4,2017-12
20171227,2017-12-27,27,12,2017,52,4,2017-12
20171228,2017-12-28,28,12,2017,52,4,2017-12
20171229,2017-12-29,29,12,2017,52,4,2017-12
20171230,2017-12-30,30,12,2017,52,4,2017-12
20171231,2017-12-31,31,12,2017,52,4,2017-12
20180101,2018-01-01,1,1,2018,1,1,2018-01
20180102,2018-01-02,2,1,2018,1,1,2018-01
20180103,2018-01-03,3,1,2018,1,1,2018-01
20180104,2018-01-04,4,1,2018,1,1,2018-01
20180105,2018-01-05,5,1,2018,1,1,2018-01
20180106,2018-01-06,6,1,2018,1,1,2018-01
20180107,2018-01-07,7,1,2018,1,1,2018-01
20180108,2018-01-08,8,1,2018,2,1,2018-01
20180109,2018-01-09,9,1,2018,2,1,2018-01
20180110,2018-01-10,10,1,2018,2,1,2018-01
20180111,2018-01-11,11,1,2018,2,1,2018-01
20180112,2018-01-12,12,1,2018,2,1,2018-01
20180113,2018-01-13,13,1,2018,2,1,2018-01
20180114,2018-01-14,14,1,2018,2,1,2018-01
20180115,2018-01-15,15,1,2018,3,1,2018-01
20180116,2018-01-16,16,1,2018,3,1,2018-01
20180117,2018-01-17,17,1,2018,3,1,2018-01
20180118,2018-01-18,18,1,2018,3,1,2018-01
20180119,2018-01-19,19,1,2018,3,1,2018-01
20180120,2018-01-20,20,1,2018,3,1,2018-01
20180121,2018-01-21,21,1,2018,3,1,2018-01
20180122,2018-01-22,22,1,2018,4,1,2018-01
20180123,2018-01-23,23,1,2018,4,1,2018-01
20180124,2018-01-24,24,1,2018,4,1,2018-01
20180125,2018-01-25,25,1,2018,4,1,2018-01
20180126,2018-01-26,26,1,2018,4,1,2018-01
20180127,2018-01-27,27,1,2018,4,1,2018-01
20180128,2018-01-28,28,1,2018,4,1,2018-01
20180129,2018-01-29,29,1,2018,5,1,2018-01
20180130,2018-01-30,30,1,2018,5,1,2018-01
20180131,2018-01-31,31,1,2018,5,1,2018-01
20180201,2018-02-01,1,2,2018,5,1,2018-02
20180202,2018-02-02,2,2,2018,5,1,2018-02
20180203,2018-02-03,3,2,2018,5,1,2018-02
20180204,2018-02-04,4,2,2018,5,1,2018-02
20180205,2018-02-05,5,2,2018,6,1,2018-02
20180206,2018-02-06,6,2,2018,6,1,2018-02
20180207,2018-02-07,7,2,2018,6,1,2018-02
20180208,2018-02-08,8,2,2018,6,1,2018-02
20180209,2018-02-09,9,2,2018,6,1,2018-02
20180210,2018-02-10,10,2,2018,6,1,2018-02
20180211,2018-02-11,11,2,2018,6,1,2018-02
20180212,2018-02-12,12,2,2018,7,1,2018-02
20180213,2018-02-13,13,2,2018,7,1,2018-02
20180214,2018-02-14,14,2,2018,7,1,2018-02
20180215,2018-02-15,15,2,2018,7,1,2018-02
20180216,2018-02-16,16,2,2018,7,1,2018-02
20180217,2018-02-17,17,2,2018,7,1,2018-02
20180218,2018-02-18,18,2,2018,7,1,2018-02
20180219,2018-02-19,19,2,2018,8,1,2018-02
20180220,2018-02-20,20,2,2018,8,1,2018-02
20180221,2018-02-21,21,2,2018,8,1,2018-02
20180222,2018-02-22,22,2,2018,8,1,2018-02
20180223,2018-02-23,23,2,2018,8,1,2018-02
20180224,2018-02-24,24,2,2018,8,1,2018-02
20180225,2018-02-25,25,2,2018,8,1,2018-02
20180226,2018-02-26,26,2,2018,9,1,2018-02
20180227,2018-02-27,27,2,2018,9,1,2018-02
20180228,2018-02-28,28,2,2018,9,1,2018-02
20180301,2018-03-01,1,3,2018,9,1,2018-03
20180302,2018-03-02,2,3,2018,9,1,2018-03
20180303,2018-03-03,3,3,2018,9,1,2018-03
20180304,2018-03-04,4,3,2018,9,1,2018-03
20180305,2018-03-05,5,3,2018,10,1,2018-03
20180306,2018-03-06,6,3,2018,10,1,2018-03
20180307,2018-03-07,7,3,2018,10,1,2018-03
